Orthogroup	Cyanothece_ATCC51142	Gloeobacter_PCC7421	Microcystis_PCC7806	Prochlorococcus_CCMP1375	Synechococcus_PCC7942	Synechocystis_PCC6803	Thermosynechococcus_BP1	Trichodesmium_IMS101
OG0000429	NC_008785.1_210	NC_005125.1_1369	NC_009662.1_1279	NC_008740.1_722	NC_017382.1_1080	NC_000911.1_263	NC_010617.1_1648	NC_008048.1_1300
OG0000431	NC_008785.1_226	NC_005125.1_4504	NC_009662.1_1674	NC_008740.1_2535	NC_017382.1_96	NC_000911.1_774	NC_010617.1_626	NC_008048.1_246
OG0000432	NC_008785.1_227	NC_005125.1_4505	NC_009662.1_1673	NC_008740.1_2534	NC_017382.1_95	NC_000911.1_773	NC_010617.1_627	NC_008048.1_247
OG0000433	NC_008785.1_238	NC_005125.1_3182	NC_009662.1_383	NC_008740.1_1754	NC_017382.1_391	NC_000911.1_2493	NC_010617.1_1331	NC_008048.1_333
OG0000434	NC_008785.1_239	NC_005125.1_2944	NC_009662.1_1143	NC_008740.1_1755	NC_017382.1_851	NC_000911.1_1060	NC_010617.1_1332	NC_008048.1_335
OG0000435	NC_008785.1_240	NC_005125.1_3365	NC_009662.1_1933	NC_008740.1_1756	NC_017382.1_473	NC_000911.1_3024	NC_010617.1_1333	NC_008048.1_336
OG0000437	NC_008785.1_248	NC_005125.1_566	NC_009662.1_446	NC_008740.1_1814	NC_017382.1_1269	NC_000911.1_1283	NC_010617.1_849	NC_008048.1_2044
OG0000438	NC_008785.1_267	NC_005125.1_4247	NC_009662.1_1522	NC_008740.1_1147	NC_017382.1_1470	NC_000911.1_2250	NC_010617.1_1328	NC_008048.1_1724
OG0000439	NC_008785.1_268	NC_005125.1_4246	NC_009662.1_1523	NC_008740.1_1146	NC_017382.1_1469	NC_000911.1_2249	NC_010617.1_1329	NC_008048.1_1725
OG0000440	NC_008785.1_270	NC_005125.1_824	NC_009662.1_1127	NC_008740.1_1144	NC_017382.1_291	NC_000911.1_2922	NC_010617.1_285	NC_008048.1_2205
OG0000441	NC_008785.1_272	NC_005125.1_1306	NC_009662.1_1413	NC_008740.1_657	NC_017382.1_1430	NC_000911.1_2342	NC_010617.1_1011	NC_008048.1_1660
OG0000442	NC_008785.1_279	NC_005125.1_3498	NC_009662.1_314	NC_008740.1_3682	NC_017382.1_44	NC_000911.1_3013	NC_010617.1_2038	NC_008048.1_2291
OG0000444	NC_008785.1_294	NC_005125.1_723	NC_009662.1_1407	NC_008740.1_550	NC_017382.1_1097	NC_000911.1_3104	NC_010617.1_461	NC_008048.1_48
OG0000445	NC_008785.1_295	NC_005125.1_721	NC_009662.1_730	NC_008740.1_551	NC_017382.1_1001	NC_000911.1_3040	NC_010617.1_1444	NC_008048.1_3049
OG0000447	NC_008785.1_332	NC_005125.1_4161	NC_009662.1_1521	NC_008740.1_2813	NC_017382.1_1472	NC_000911.1_752	NC_010617.1_1284	NC_008048.1_3045
OG0000448	NC_008785.1_335	NC_005125.1_1233	NC_009662.1_1607	NC_008740.1_3446	NC_017382.1_829	NC_000911.1_68	NC_010617.1_1559	NC_008048.1_2770
OG0000449	NC_008785.1_348	NC_005125.1_2348	NC_009662.1_267	NC_008740.1_3117	NC_017382.1_365	NC_000911.1_761	NC_010617.1_1189	NC_008048.1_1325
OG0000450	NC_008785.1_351	NC_005125.1_4465	NC_009662.1_1635	NC_008740.1_3127	NC_017382.1_1022	NC_000911.1_97	NC_010617.1_1268	NC_008048.1_2295
OG0000452	NC_008785.1_357	NC_005125.1_2491	NC_009662.1_1335	NC_008740.1_2141	NC_017382.1_912	NC_000911.1_2555	NC_010617.1_1553	NC_008048.1_1283
OG0000454	NC_008785.1_392	NC_005125.1_2687	NC_009662.1_1563	NC_008740.1_2371	NC_017382.1_1091	NC_000911.1_1810	NC_010617.1_1030	NC_008048.1_2751
OG0000455	NC_008785.1_395	NC_005125.1_2577	NC_009662.1_1062	NC_008740.1_1786	NC_017382.1_248	NC_000911.1_1492	NC_010617.1_1576	NC_008048.1_1231
OG0000456	NC_008785.1_399	NC_005125.1_4459	NC_009662.1_1283	NC_008740.1_879	NC_017382.1_315	NC_000911.1_383	NC_010617.1_1102	NC_008048.1_1715
OG0000457	NC_008785.1_400	NC_005125.1_846	NC_009662.1_1284	NC_008740.1_878	NC_017382.1_309	NC_000911.1_1869	NC_010617.1_1101	NC_008048.1_2055
OG0000458	NC_008785.1_401	NC_005125.1_847	NC_009662.1_1285	NC_008740.1_877	NC_017382.1_308	NC_000911.1_1868	NC_010617.1_1100	NC_008048.1_2054
OG0000459	NC_008785.1_402	NC_005125.1_773	NC_009662.1_1064	NC_008740.1_876	NC_017382.1_250	NC_000911.1_1	NC_010617.1_526	NC_008048.1_514
OG0000460	NC_008785.1_413	NC_005125.1_2180	NC_009662.1_107	NC_008740.1_2752	NC_017382.1_514	NC_000911.1_3036	NC_010617.1_1162	NC_008048.1_2864
OG0000461	NC_008785.1_418	NC_005125.1_1878	NC_009662.1_867	NC_008740.1_2506	NC_017382.1_560	NC_000911.1_2490	NC_010617.1_857	NC_008048.1_1826
OG0000462	NC_008785.1_422	NC_005125.1_311	NC_009662.1_1072	NC_008740.1_2510	NC_017382.1_934	NC_000911.1_955	NC_010617.1_1446	NC_008048.1_1883
OG0000463	NC_008785.1_425	NC_005125.1_310	NC_009662.1_1142	NC_008740.1_2513	NC_017382.1_606	NC_000911.1_1151	NC_010617.1_1007	NC_008048.1_1886
OG0000464	NC_008785.1_427	NC_005125.1_1707	NC_009662.1_1589	NC_008740.1_2515	NC_017382.1_1094	NC_000911.1_3209	NC_010617.1_1449	NC_008048.1_1889
OG0000465	NC_008785.1_429	NC_005125.1_3803	NC_009662.1_321	NC_008740.1_2517	NC_017382.1_844	NC_000911.1_1187	NC_010617.1_1451	NC_008048.1_1891
OG0000466	NC_008785.1_430	NC_005125.1_3809	NC_009662.1_322	NC_008740.1_2518	NC_017382.1_845	NC_000911.1_2926	NC_010617.1_1452	NC_008048.1_1892
OG0000467	NC_008785.1_431	NC_005125.1_2449	NC_009662.1_1136	NC_008740.1_2519	NC_017382.1_604	NC_000911.1_1671	NC_010617.1_1453	NC_008048.1_1893
OG0000468	NC_008785.1_432	NC_005125.1_3563	NC_009662.1_262	NC_008740.1_2520	NC_017382.1_1392	NC_000911.1_2975	NC_010617.1_1454	NC_008048.1_1894
OG0000469	NC_008785.1_435	NC_005125.1_2989	NC_009662.1_1068	NC_008740.1_2523	NC_017382.1_638	NC_000911.1_959	NC_010617.1_1457	NC_008048.1_1897
OG0000470	NC_008785.1_445	NC_005125.1_285	NC_009662.1_810	NC_008740.1_3450	NC_017382.1_1452	NC_000911.1_1980	NC_010617.1_1503	NC_008048.1_547
OG0000471	NC_008785.1_448	NC_005125.1_861	NC_009662.1_771	NC_008740.1_1543	NC_017382.1_1020	NC_000911.1_2676	NC_010617.1_824	NC_008048.1_2273
OG0000472	NC_008785.1_453	NC_005125.1_4345	NC_009662.1_1234	NC_008740.1_3447	NC_017382.1_1267	NC_000911.1_3023	NC_010617.1_1269	NC_008048.1_2072
OG0000473	NC_008785.1_455	NC_005125.1_782	NC_009662.1_384	NC_008740.1_684	NC_017382.1_392	NC_000911.1_2973	NC_010617.1_1059	NC_008048.1_2225
OG0000475	NC_008785.1_463	NC_005125.1_3314	NC_009662.1_313	NC_008740.1_2839	NC_017382.1_1312	NC_000911.1_1614	NC_010617.1_1547	NC_008048.1_1477
OG0000481	NC_008785.1_526	NC_005125.1_3445	NC_009662.1_1770	NC_008740.1_2503	NC_017382.1_548	NC_000911.1_2603	NC_010617.1_573	NC_008048.1_834
OG0000482	NC_008785.1_536	NC_005125.1_2364	NC_009662.1_1549	NC_008740.1_3115	NC_017382.1_60	NC_000911.1_2038	NC_010617.1_1181	NC_008048.1_1323
OG0000487	NC_008785.1_613	NC_005125.1_2368	NC_009662.1_1727	NC_008740.1_1787	NC_017382.1_1316	NC_000911.1_3059	NC_010617.1_545	NC_008048.1_1887
OG0000488	NC_008785.1_616	NC_005125.1_162	NC_009662.1_111	NC_008740.1_881	NC_017382.1_85	NC_000911.1_818	NC_010617.1_1276	NC_008048.1_3209
OG0000489	NC_008785.1_617	NC_005125.1_1506	NC_009662.1_1145	NC_008740.1_882	NC_017382.1_853	NC_000911.1_2461	NC_010617.1_2302	NC_008048.1_2028
OG0000490	NC_008785.1_691	NC_005125.1_1367	NC_009662.1_1417	NC_008740.1_868	NC_017382.1_1	NC_000911.1_2008	NC_010617.1_1305	NC_008048.1_2039
OG0000491	NC_008785.1_692	NC_005125.1_1066	NC_009662.1_1418	NC_008740.1_867	NC_017382.1_2	NC_000911.1_1031	NC_010617.1_1142	NC_008048.1_3007
OG0000492	NC_008785.1_694	NC_005125.1_3673	NC_009662.1_1649	NC_008740.1_1993	NC_017382.1_1501	NC_000911.1_2157	NC_010617.1_1140	NC_008048.1_3015
OG0000494	NC_008785.1_719	NC_005125.1_735	NC_009662.1_1436	NC_008740.1_1595	NC_017382.1_1378	NC_000911.1_674	NC_010617.1_1899	NC_008048.1_719
OG0000495	NC_008785.1_733	NC_005125.1_3148	NC_009662.1_1188	NC_008740.1_543	NC_017382.1_1166	NC_000911.1_720	NC_010617.1_1273	NC_008048.1_260
OG0000496	NC_008785.1_737	NC_005125.1_1658	NC_009662.1_1555	NC_008740.1_651	NC_017382.1_329	NC_000911.1_76	NC_010617.1_1296	NC_008048.1_3175
OG0000500	NC_008785.1_819	NC_005125.1_1157	NC_009662.1_920	NC_008740.1_3853	NC_017382.1_343	NC_000911.1_3214	NC_010617.1_1312	NC_008048.1_923
OG0000501	NC_008785.1_821	NC_005125.1_2935	NC_009662.1_387	NC_008740.1_3851	NC_017382.1_369	NC_000911.1_1753	NC_010617.1_1303	NC_008048.1_922
OG0000504	NC_008785.1_927	NC_005125.1_4011	NC_009662.1_710	NC_008740.1_940	NC_017382.1_1357	NC_000911.1_3308	NC_010617.1_1438	NC_008048.1_1179
OG0000506	NC_008785.1_950	NC_005125.1_807	NC_009662.1_1552	NC_008740.1_2478	NC_017382.1_1311	NC_000911.1_1177	NC_010617.1_1108	NC_008048.1_577
OG0000507	NC_008785.1_951	NC_005125.1_4094	NC_009662.1_1551	NC_008740.1_2479	NC_017382.1_1271	NC_000911.1_721	NC_010617.1_1106	NC_008048.1_578
OG0000508	NC_008785.1_953	NC_005125.1_2833	NC_009662.1_1394	NC_008740.1_3539	NC_017382.1_1159	NC_000911.1_1830	NC_010617.1_412	NC_008048.1_3127
OG0000509	NC_008785.1_954	NC_005125.1_2558	NC_009662.1_590	NC_008740.1_2213	NC_017382.1_169	NC_000911.1_2139	NC_010617.1_1334	NC_008048.1_337
OG0000512	NC_008785.1_991	NC_005125.1_2704	NC_009662.1_1208	NC_008740.1_906	NC_017382.1_339	NC_000911.1_3090	NC_010617.1_993	NC_008048.1_1480
OG0000513	NC_008785.1_999	NC_005125.1_4104	NC_009662.1_1170	NC_008740.1_3431	NC_017382.1_411	NC_000911.1_316	NC_010617.1_1562	NC_008048.1_543
OG0000514	NC_008785.1_1000	NC_005125.1_3213	NC_009662.1_1390	NC_008740.1_3430	NC_017382.1_1155	NC_000911.1_87	NC_010617.1_1561	NC_008048.1_544
OG0000515	NC_008785.1_1002	NC_005125.1_1064	NC_009662.1_1548	NC_008740.1_3438	NC_017382.1_203	NC_000911.1_2277	NC_010617.1_1182	NC_008048.1_1172
OG0000518	NC_008785.1_1123	NC_005125.1_3681	NC_009662.1_223	NC_008740.1_1582	NC_017382.1_683	NC_000911.1_2706	NC_010617.1_1797	NC_008048.1_1134
OG0000519	NC_008785.1_1130	NC_005125.1_3614	NC_009662.1_1688	NC_008740.1_3445	NC_017382.1_1177	NC_000911.1_3124	NC_010617.1_1300	NC_008048.1_982
OG0000520	NC_008785.1_1132	NC_005125.1_1810	NC_009662.1_573	NC_008740.1_3444	NC_017382.1_879	NC_000911.1_2551	NC_010617.1_1299	NC_008048.1_983
OG0000521	NC_008785.1_1138	NC_005125.1_555	NC_009662.1_1183	NC_008740.1_3440	NC_017382.1_1172	NC_000911.1_723	NC_010617.1_1887	NC_008048.1_966
OG0000523	NC_008785.1_1274	NC_005125.1_2979	NC_009662.1_1051	NC_008740.1_983	NC_017382.1_1092	NC_000911.1_3044	NC_010617.1_1085	NC_008048.1_930
OG0000524	NC_008785.1_1293	NC_005125.1_3461	NC_009662.1_225	NC_008740.1_1617	NC_017382.1_681	NC_000911.1_869	NC_010617.1_1309	NC_008048.1_656
OG0000525	NC_008785.1_1309	NC_005125.1_1555	NC_009662.1_1927	NC_008740.1_792	NC_017382.1_461	NC_000911.1_194	NC_010617.1_793	NC_008048.1_2325
OG0000526	NC_008785.1_1316	NC_005125.1_2699	NC_009662.1_432	NC_008740.1_3434	NC_017382.1_402	NC_000911.1_126	NC_010617.1_1570	NC_008048.1_611
OG0000527	NC_008785.1_1317	NC_005125.1_3560	NC_009662.1_1542	NC_008740.1_3435	NC_017382.1_1412	NC_000911.1_124	NC_010617.1_1572	NC_008048.1_609
OG0000528	NC_008785.1_1318	NC_005125.1_3559	NC_009662.1_434	NC_008740.1_3436	NC_017382.1_404	NC_000911.1_123	NC_010617.1_1573	NC_008048.1_608
OG0000529	NC_008785.1_1341	NC_005125.1_2988	NC_009662.1_692	NC_008740.1_2113	NC_017382.1_994	NC_000911.1_1898	NC_010617.1_1526	NC_008048.1_2808
OG0000530	NC_008785.1_1342	NC_005125.1_3191	NC_009662.1_691	NC_008740.1_2114	NC_017382.1_993	NC_000911.1_2470	NC_010617.1_1527	NC_008048.1_2807
OG0000531	NC_008785.1_1343	NC_005125.1_2838	NC_009662.1_116	NC_008740.1_2115	NC_017382.1_135	NC_000911.1_2252	NC_010617.1_1531	NC_008048.1_2963
OG0000532	NC_008785.1_1345	NC_005125.1_1796	NC_009662.1_115	NC_008740.1_2117	NC_017382.1_133	NC_000911.1_324	NC_010617.1_1533	NC_008048.1_267
OG0000533	NC_008785.1_1346	NC_005125.1_2946	NC_009662.1_114	NC_008740.1_2118	NC_017382.1_132	NC_000911.1_2712	NC_010617.1_1338	NC_008048.1_689
OG0000538	NC_008785.1_1517	NC_005125.1_3143	NC_009662.1_736	NC_008740.1_1064	NC_017382.1_439	NC_000911.1_3049	NC_010617.1_1259	NC_008048.1_676
OG0000540	NC_008785.1_1594	NC_005125.1_3345	NC_009662.1_1690	NC_008740.1_2833	NC_017382.1_264	NC_000911.1_769	NC_010617.1_195	NC_008048.1_510
OG0000541	NC_008785.1_1601	NC_005125.1_3275	NC_009662.1_1426	NC_008740.1_1161	NC_017382.1_511	NC_000911.1_1707	NC_010617.1_1486	NC_008048.1_2222
OG0000542	NC_008785.1_1604	NC_005125.1_2606	NC_009662.1_855	NC_008740.1_1158	NC_017382.1_1132	NC_000911.1_2306	NC_010617.1_1324	NC_008048.1_2738
OG0000543	NC_008785.1_1605	NC_005125.1_3690	NC_009662.1_347	NC_008740.1_1157	NC_017382.1_717	NC_000911.1_1191	NC_010617.1_1578	NC_008048.1_1856
OG0000544	NC_008785.1_1607	NC_005125.1_2124	NC_009662.1_62	NC_008740.1_1154	NC_017382.1_1324	NC_000911.1_2794	NC_010617.1_618	NC_008048.1_700
OG0000545	NC_008785.1_1608	NC_005125.1_729	NC_009662.1_406	NC_008740.1_1153	NC_017382.1_207	NC_000911.1_2116	NC_010617.1_1096	NC_008048.1_1770
OG0000547	NC_008785.1_1618	NC_005125.1_3570	NC_009662.1_1233	NC_008740.1_1661	NC_017382.1_885	NC_000911.1_3063	NC_010617.1_271	NC_008048.1_252
OG0000548	NC_008785.1_1626	NC_005125.1_4506	NC_009662.1_1618	NC_008740.1_845	NC_017382.1_790	NC_000911.1_772	NC_010617.1_1219	NC_008048.1_1957
OG0000549	NC_008785.1_1640	NC_005125.1_4376	NC_009662.1_1612	NC_008740.1_2335	NC_017382.1_524	NC_000911.1_2467	NC_010617.1_935	NC_008048.1_812
OG0000550	NC_008785.1_1655	NC_005125.1_35	NC_009662.1_348	NC_008740.1_2442	NC_017382.1_42	NC_000911.1_2669	NC_010617.1_2291	NC_008048.1_767
OG0000551	NC_008785.1_1656	NC_005125.1_2680	NC_009662.1_1037	NC_008740.1_2443	NC_017382.1_825	NC_000911.1_1673	NC_010617.1_2293	NC_008048.1_1910
OG0000552	NC_008785.1_1657	NC_005125.1_3122	NC_009662.1_1213	NC_008740.1_2445	NC_017382.1_1183	NC_000911.1_2662	NC_010617.1_2294	NC_008048.1_1909
OG0000553	NC_008785.1_1659	NC_005125.1_447	NC_009662.1_1211	NC_008740.1_2446	NC_017382.1_1185	NC_000911.1_1155	NC_010617.1_2296	NC_008048.1_1908
OG0000554	NC_008785.1_1679	NC_005125.1_696	NC_009662.1_856	NC_008740.1_1914	NC_017382.1_1372	NC_000911.1_2230	NC_010617.1_1842	NC_008048.1_1260
OG0000556	NC_008785.1_1701	NC_005125.1_2284	NC_009662.1_177	NC_008740.1_2843	NC_017382.1_41	NC_000911.1_1815	NC_010617.1_634	NC_008048.1_1191
OG0000557	NC_008785.1_1702	NC_005125.1_1727	NC_009662.1_983	NC_008740.1_682	NC_017382.1_1107	NC_000911.1_1668	NC_010617.1_1187	NC_008048.1_1215
OG0000559	NC_008785.1_1711	NC_005125.1_4275	NC_009662.1_570	NC_008740.1_1891	NC_017382.1_30	NC_000911.1_3029	NC_010617.1_1081	NC_008048.1_2766
OG0000560	NC_008785.1_1713	NC_005125.1_4274	NC_009662.1_170	NC_008740.1_1893	NC_017382.1_551	NC_000911.1_3031	NC_010617.1_1078	NC_008048.1_843
OG0000562	NC_008785.1_1733	NC_005125.1_3618	NC_009662.1_626	NC_008740.1_948	NC_017382.1_431	NC_000911.1_922	NC_010617.1_1831	NC_008048.1_1282
OG0000563	NC_008785.1_1735	NC_005125.1_3909	NC_009662.1_1518	NC_008740.1_1986	NC_017382.1_1478	NC_000911.1_2541	NC_010617.1_1669	NC_008048.1_1662
OG0000564	NC_008785.1_1761	NC_005125.1_2663	NC_009662.1_1396	NC_008740.1_1778	NC_017382.1_985	NC_000911.1_2345	NC_010617.1_662	NC_008048.1_632
OG0000565	NC_008785.1_1770	NC_005125.1_1529	NC_009662.1_1533	NC_008740.1_3456	NC_017382.1_1342	NC_000911.1_1959	NC_010617.1_908	NC_008048.1_1740
OG0000566	NC_008785.1_1779	NC_005125.1_1542	NC_009662.1_228	NC_008740.1_2598	NC_017382.1_1258	NC_000911.1_85	NC_010617.1_1040	NC_008048.1_963
OG0000568	NC_008785.1_1787	NC_005125.1_2300	NC_009662.1_1732	NC_008740.1_2606	NC_017382.1_225	NC_000911.1_2317	NC_010617.1_1582	NC_008048.1_1962
OG0000569	NC_008785.1_1790	NC_005125.1_301	NC_009662.1_1919	NC_008740.1_2609	NC_017382.1_1195	NC_000911.1_2075	NC_010617.1_1588	NC_008048.1_1965
OG0000570	NC_008785.1_1791	NC_005125.1_2391	NC_009662.1_795	NC_008740.1_2610	NC_017382.1_568	NC_000911.1_2076	NC_010617.1_1589	NC_008048.1_1967
OG0000571	NC_008785.1_1792	NC_005125.1_1871	NC_009662.1_1595	NC_008740.1_2611	NC_017382.1_1464	NC_000911.1_1645	NC_010617.1_1590	NC_008048.1_1968
OG0000572	NC_008785.1_1793	NC_005125.1_1872	NC_009662.1_1596	NC_008740.1_2612	NC_017382.1_1465	NC_000911.1_1646	NC_010617.1_1591	NC_008048.1_1969
OG0000573	NC_008785.1_1798	NC_005125.1_747	NC_009662.1_1179	NC_008740.1_1201	NC_017382.1_728	NC_000911.1_11	NC_010617.1_1639	NC_008048.1_549
OG0000574	NC_008785.1_1811	NC_005125.1_2457	NC_009662.1_1096	NC_008740.1_861	NC_017382.1_233	NC_000911.1_2004	NC_010617.1_1871	NC_008048.1_1816
OG0000575	NC_008785.1_1812	NC_005125.1_3890	NC_009662.1_365	NC_008740.1_2441	NC_017382.1_901	NC_000911.1_2663	NC_010617.1_643	NC_008048.1_1228
OG0000577	NC_008785.1_1873	NC_005125.1_1816	NC_009662.1_1186	NC_008740.1_990	NC_017382.1_1169	NC_000911.1_3101	NC_010617.1_270	NC_008048.1_2161
OG0000578	NC_008785.1_1874	NC_005125.1_414	NC_009662.1_1536	NC_008740.1_942	NC_017382.1_620	NC_000911.1_1783	NC_010617.1_1891	NC_008048.1_1607
OG0000579	NC_008785.1_1893	NC_005125.1_1040	NC_009662.1_734	NC_008740.1_1741	NC_017382.1_437	NC_000911.1_3033	NC_010617.1_1557	NC_008048.1_1741
OG0000581	NC_008785.1_1905	NC_005125.1_2168	NC_009662.1_1723	NC_008740.1_945	NC_017382.1_162	NC_000911.1_3178	NC_010617.1_1744	NC_008048.1_523
OG0000583	NC_008785.1_1907	NC_005125.1_1559	NC_009662.1_162	NC_008740.1_943	NC_017382.1_353	NC_000911.1_1801	NC_010617.1_1502	NC_008048.1_1170
OG0000587	NC_008785.1_1940	NC_005125.1_1925	NC_009662.1_747	NC_008740.1_1894	NC_017382.1_764	NC_000911.1_2271	NC_010617.1_1761	NC_008048.1_3121
OG0000591	NC_008785.1_1956	NC_005125.1_1077	NC_009662.1_1577	NC_008740.1_791	NC_017382.1_827	NC_000911.1_495	NC_010617.1_1416	NC_008048.1_150
OG0000592	NC_008785.1_1977	NC_005125.1_4306	NC_009662.1_803	NC_008740.1_3527	NC_017382.1_722	NC_000911.1_1940	NC_010617.1_1895	NC_008048.1_3081
OG0000593	NC_008785.1_1983	NC_005125.1_3277	NC_009662.1_1059	NC_008740.1_501	NC_017382.1_247	NC_000911.1_1179	NC_010617.1_825	NC_008048.1_2900
OG0000594	NC_008785.1_1996	NC_005125.1_3581	NC_009662.1_1711	NC_008740.1_965	NC_017382.1_1024	NC_000911.1_1648	NC_010617.1_364	NC_008048.1_763
OG0000595	NC_008785.1_2000	NC_005125.1_3086	NC_009662.1_831	NC_008740.1_963	NC_017382.1_981	NC_000911.1_2517	NC_010617.1_994	NC_008048.1_1262
OG0000596	NC_008785.1_2007	NC_005125.1_1848	NC_009662.1_1591	NC_008740.1_683	NC_017382.1_6	NC_000911.1_1665	NC_010617.1_1880	NC_008048.1_3028
OG0000600	NC_008785.1_2125	NC_005125.1_3661	NC_009662.1_1400	NC_008740.1_1226	NC_017382.1_525	NC_000911.1_1088	NC_010617.1_1176	NC_008048.1_1081
OG0000601	NC_008785.1_2133	NC_005125.1_4508	NC_009662.1_1040	NC_008740.1_2304	NC_017382.1_822	NC_000911.1_2151	NC_010617.1_1264	NC_008048.1_1212
OG0000602	NC_008785.1_2136	NC_005125.1_2816	NC_009662.1_448	NC_008740.1_2308	NC_017382.1_359	NC_000911.1_3310	NC_010617.1_1274	NC_008048.1_2049
OG0000603	NC_008785.1_2144	NC_005125.1_2362	NC_009662.1_324	NC_008740.1_1918	NC_017382.1_781	NC_000911.1_763	NC_010617.1_1048	NC_008048.1_280
OG0000604	NC_008785.1_2158	NC_005125.1_3087	NC_009662.1_1643	NC_008740.1_3151	NC_017382.1_577	NC_000911.1_2602	NC_010617.1_571	NC_008048.1_1664
OG0000606	NC_008785.1_2201	NC_005125.1_850	NC_009662.1_1558	NC_008740.1_2338	NC_017382.1_1086	NC_000911.1_876	NC_010617.1_1037	NC_008048.1_2742
OG0000607	NC_008785.1_2202	NC_005125.1_914	NC_009662.1_1559	NC_008740.1_2339	NC_017382.1_1087	NC_000911.1_276	NC_010617.1_1036	NC_008048.1_2743
OG0000608	NC_008785.1_2204	NC_005125.1_2686	NC_009662.1_1562	NC_008740.1_2341	NC_017382.1_1090	NC_000911.1_2024	NC_010617.1_1033	NC_008048.1_2750
OG0000609	NC_008785.1_2233	NC_005125.1_539	NC_009662.1_400	NC_008740.1_1050	NC_017382.1_303	NC_000911.1_254	NC_010617.1_1902	NC_008048.1_621
OG0000610	NC_008785.1_2288	NC_005125.1_3910	NC_009662.1_329	NC_008740.1_3653	NC_017382.1_847	NC_000911.1_300	NC_010617.1_346	NC_008048.1_2773
OG0000611	NC_008785.1_2289	NC_005125.1_3123	NC_009662.1_270	NC_008740.1_3654	NC_017382.1_1145	NC_000911.1_2661	NC_010617.1_347	NC_008048.1_2971
OG0000612	NC_008785.1_2291	NC_005125.1_913	NC_009662.1_426	NC_008740.1_976	NC_017382.1_49	NC_000911.1_1904	NC_010617.1_43	NC_008048.1_1150
OG0000614	NC_008785.1_2297	NC_005125.1_228	NC_009662.1_1177	NC_008740.1_883	NC_017382.1_366	NC_000911.1_1170	NC_010617.1_1565	NC_008048.1_2381
OG0000615	NC_008785.1_2300	NC_005125.1_1583	NC_009662.1_1149	NC_008740.1_3651	NC_017382.1_505	NC_000911.1_1428	NC_010617.1_1294	NC_008048.1_3203
OG0000616	NC_008785.1_2310	NC_005125.1_3483	NC_009662.1_1724	NC_008740.1_2140	NC_017382.1_161	NC_000911.1_3295	NC_010617.1_1550	NC_008048.1_1735
OG0000618	NC_008785.1_2354	NC_005125.1_4093	NC_009662.1_1540	NC_008740.1_2807	NC_017382.1_279	NC_000911.1_597	NC_010617.1_1548	NC_008048.1_2077
OG0000619	NC_008785.1_2356	NC_005125.1_1271	NC_009662.1_823	NC_008740.1_2809	NC_017382.1_1101	NC_000911.1_2417	NC_010617.1_1265	NC_008048.1_2176
OG0000620	NC_008785.1_2367	NC_005125.1_2033	NC_009662.1_66	NC_008740.1_3595	NC_017382.1_1327	NC_000911.1_96	NC_010617.1_1700	NC_008048.1_1486
